datetime,Global_active_power,dayofweek,month,is_weekend
2006-12-16,3.0534747474747475,5,12,1
2006-12-17,2.354486111111111,6,12,1
2006-12-18,1.5304347222222223,0,12,0
2006-12-19,1.1570791666666667,1,12,0
2006-12-20,1.5456583333333334,2,12,0
2006-12-21,1.193757997218359,3,12,0
2006-12-22,1.6259291666666669,4,12,0
2006-12-23,3.314851388888889,5,12,1
2006-12-24,1.7708416666666669,6,12,1
2006-12-25,1.9049444444444443,0,12,0
2006-12-26,2.7320208333333333,1,12,0
2006-12-27,1.0616388888888888,2,12,0
2006-12-28,1.4393319444444443,3,12,0
2006-12-29,2.204438888888889,4,12,0
2006-12-30,1.939709318497914,5,12,1
2006-12-31,2.426525,6,12,1
2007-01-01,1.9090305555555556,0,1,0
2007-01-02,0.8814138888888889,1,1,0
2007-01-03,0.7042041666666666,2,1,0
2007-01-04,2.2634805555555553,3,1,0
2007-01-05,1.8842805555555555,4,1,0
2007-01-06,1.047484722222222,5,1,1
2007-01-07,1.6997361111111111,6,1,1
2007-01-08,1.5565,0,1,0
2007-01-09,1.2979541666666667,1,1,0
2007-01-10,1.496388888888889,2,1,0
2007-01-11,1.5661069444444444,3,1,0
2007-01-12,1.014788888888889,4,1,0
2007-01-13,2.2130652777777775,5,1,1
2007-01-14,2.0902126476719944,6,1,1
2007-01-15,1.4921375,0,1,0
2007-01-16,1.1711138888888888,1,1,0
2007-01-17,1.977561111111111,2,1,0
2007-01-18,1.2649041666666667,3,1,0
2007-01-19,1.0280833333333335,4,1,0
2007-01-20,2.1762027777777777,5,1,1
2007-01-21,2.366154166666667,6,1,1
2007-01-22,1.5142319444444445,0,1,0
2007-01-23,1.2344722222222222,1,1,0
2007-01-24,2.074898611111111,2,1,0
2007-01-25,1.1085722222222223,3,1,0
2007-01-26,1.1235916666666665,4,1,0
2007-01-27,1.4194944444444444,5,1,1
2007-01-28,2.147466296038916,6,1,1
2007-01-29,1.37685,0,1,0
2007-01-30,1.1859708333333334,1,1,0
2007-01-31,1.6414944444444444,2,1,0
2007-02-01,1.2671944444444445,3,2,0
2007-02-02,1.15815,4,2,0
2007-02-03,2.7984180555555556,5,2,1
2007-02-04,2.4971805555555555,6,2,1
2007-02-05,1.1425555555555555,0,2,0
2007-02-06,0.8843611111111112,1,2,0
2007-02-07,1.6166791666666667,2,2,0
2007-02-08,1.2509819444444443,3,2,0
2007-02-09,1.1251375000000001,4,2,0
2007-02-10,1.964811111111111,5,2,1
2007-02-11,2.4800194444444443,6,2,1
2007-02-12,1.3038958333333333,0,2,0
2007-02-13,0.9823236111111111,1,2,0
2007-02-14,1.735188888888889,2,2,0
2007-02-15,1.3787125,3,2,0
2007-02-16,1.182311111111111,4,2,0
2007-02-17,1.4423,5,2,1
2007-02-18,2.6595569444444447,6,2,1
2007-02-19,1.5184819444444444,0,2,0
2007-02-20,2.18745,1,2,0
2007-02-21,1.4394958333333332,2,2,0
2007-02-22,2.3431696801112656,3,2,0
2007-02-23,0.9121388888888889,4,2,0
2007-02-24,0.4964736111111111,5,2,1
2007-02-25,0.3484305555555556,6,2,1
2007-02-26,0.3947805555555556,0,2,0
2007-02-27,0.35979999999999995,1,2,0
2007-02-28,0.36164861111111113,2,2,0
2007-03-01,0.3594194444444444,3,3,0
2007-03-02,0.35811666666666664,4,3,0
2007-03-03,0.5688347222222222,5,3,1
2007-03-04,1.4518749999999998,6,3,1
2007-03-05,1.8474527777777776,0,3,0
2007-03-06,0.865625,1,3,0
2007-03-07,1.6494486111111113,2,3,0
2007-03-08,1.0917583333333334,3,3,0
2007-03-09,0.8837583333333334,4,3,0
2007-03-10,1.7254944444444444,5,3,1
2007-03-11,2.417108333333333,6,3,1
2007-03-12,1.3546305555555556,0,3,0
2007-03-13,0.8959333333333334,1,3,0
2007-03-14,1.2453916666666667,2,3,0
2007-03-15,1.3088986111111112,3,3,0
2007-03-16,1.1819819444444446,4,3,0
2007-03-17,1.4083958333333333,5,3,1
2007-03-18,1.6465597222222221,6,3,1
2007-03-19,1.4948041666666667,0,3,0
2007-03-20,1.4487694444444446,1,3,0
2007-03-21,1.487563888888889,2,3,0
2007-03-22,1.010401388888889,3,3,0
2007-03-23,0.9090333333333334,4,3,0
2007-03-24,2.0614097222222223,5,3,1
2007-03-25,2.318362751911049,6,3,1
2007-03-26,0.9833902777777779,0,3,0
2007-03-27,0.7674583333333334,1,3,0
2007-03-28,1.6207625,2,3,0
2007-03-29,1.1044486111111111,3,3,0
2007-03-30,0.9738847222222222,4,3,0
2007-03-31,2.4371597222222223,5,3,1
2007-04-01,1.9346888888888887,6,4,1
2007-04-02,1.3616513888888888,0,4,0
2007-04-03,1.1408472222222221,1,4,0
2007-04-04,1.4249083333333332,2,4,0
2007-04-05,1.2806097222222221,3,4,0
2007-04-06,1.111902777777778,4,4,0
2007-04-07,1.079113888888889,5,4,1
2007-04-08,1.1172333333333333,6,4,1
2007-04-09,0.6950833333333333,0,4,0
2007-04-10,0.5398361111111112,1,4,0
2007-04-11,0.6163069444444444,2,4,0
2007-04-12,0.37340694444444444,3,4,0
2007-04-13,0.3826541666666667,4,4,0
2007-04-14,0.38490833333333335,5,4,1
2007-04-15,0.5042805555555555,6,4,1
2007-04-16,0.6613819444444444,0,4,0
2007-04-17,0.8498152777777778,1,4,0
2007-04-18,0.6932263888888889,2,4,0
2007-04-19,0.7143458333333332,3,4,0
2007-04-20,0.5712361111111112,4,4,0
2007-04-21,1.162261111111111,5,4,1
2007-04-22,1.5511902777777777,6,4,1
2007-04-23,0.7323375,0,4,0
2007-04-24,0.716736111111111,1,4,0
2007-04-25,0.8778902777777778,2,4,0
2007-04-26,0.8857402777777778,3,4,0
2007-04-27,0.7599527777777778,4,4,0
2007-04-28,1.0827619047619048,5,4,1
2007-04-29,1.0827619047619048,6,4,1
2007-04-30,0.73059375,0,4,0
2007-05-01,1.1554569444444445,1,5,0
2007-05-02,0.6968652777777777,2,5,0
2007-05-03,0.7571097222222223,3,5,0
2007-05-04,0.6931444444444445,4,5,0
2007-05-05,1.0854527777777778,5,5,1
2007-05-06,1.4597944444444444,6,5,1
2007-05-07,1.1414333333333333,0,5,0
2007-05-08,1.2425638888888888,1,5,0
2007-05-09,1.1567611111111111,2,5,0
2007-05-10,0.4915861111111111,3,5,0
2007-05-11,0.6799680555555555,4,5,0
2007-05-12,1.0010875000000001,5,5,1
2007-05-13,1.1352347222222223,6,5,1
2007-05-14,1.0192930555555555,0,5,0
2007-05-15,0.62805,1,5,0
2007-05-16,1.1756555555555555,2,5,0
2007-05-17,0.8554277777777778,3,5,0
2007-05-18,1.1330069444444444,4,5,0
2007-05-19,0.9926680555555556,5,5,1
2007-05-20,1.3668944444444444,6,5,1
2007-05-21,0.7778208333333333,0,5,0
2007-05-22,0.7867027777777779,1,5,0
2007-05-23,1.0173166666666666,2,5,0
2007-05-24,0.8016583333333333,3,5,0
2007-05-25,1.1209861111111112,4,5,0
2007-05-26,1.0501722222222223,5,5,1
2007-05-27,1.4957,6,5,1
2007-05-28,1.1371305555555555,0,5,0
2007-05-29,0.7370416666666666,1,5,0
2007-05-30,1.1179625,2,5,0
2007-05-31,0.6517708333333333,3,5,0
2007-06-01,0.7261417651146629,4,6,0
2007-06-02,1.0308069444444445,5,6,1
2007-06-03,1.4639069444444444,6,6,1
2007-06-04,0.6330680555555556,0,6,0
2007-06-05,1.0131194444444445,1,6,0
2007-06-06,1.176954829742877,2,6,0
2007-06-07,0.6840291666666667,3,6,0
2007-06-08,1.491698611111111,4,6,0
2007-06-09,0.7559300998573467,5,6,1
2007-06-10,0.9311194444444444,6,6,1
2007-06-11,0.5518430555555556,0,6,0
2007-06-12,0.6380319444444444,1,6,0
2007-06-13,0.643938888888889,2,6,0
2007-06-14,0.8743638888888889,3,6,0
2007-06-15,0.687225,4,6,0
2007-06-16,1.4012236111111112,5,6,1
2007-06-17,1.3521458333333334,6,6,1
2007-06-18,0.47116250000000004,0,6,0
2007-06-19,0.5857858136300418,1,6,0
2007-06-20,0.7460319444444445,2,6,0
2007-06-21,0.5603791666666667,3,6,0
2007-06-22,0.3932597222222222,4,6,0
2007-06-23,0.33164305555555557,5,6,1
2007-06-24,0.49628888888888884,6,6,1
2007-06-25,0.7445847222222223,0,6,0
2007-06-26,0.6561861111111111,1,6,0
2007-06-27,1.0283513888888889,2,6,0
2007-06-28,0.8996097222222222,3,6,0
2007-06-29,0.906322446143155,4,6,0
2007-06-30,0.9273013888888889,5,6,1
2007-07-01,0.7129611111111112,6,7,1
2007-07-02,0.67155,0,7,0
2007-07-03,0.73605,1,7,0
2007-07-04,0.6968125,2,7,0
2007-07-05,0.7342291666666666,3,7,0
2007-07-06,0.7427250000000001,4,7,0
2007-07-07,0.943198611111111,5,7,1
2007-07-08,0.7563055555555555,6,7,1
2007-07-09,0.8195541666666666,0,7,0
2007-07-10,0.6307805555555556,1,7,0
2007-07-11,0.5016333333333333,2,7,0
2007-07-12,0.7427652777777779,3,7,0
2007-07-13,0.5516541666666667,4,7,0
2007-07-14,0.8945625,5,7,1
2007-07-15,0.700018320610687,6,7,1
2007-07-16,0.5928291666666666,0,7,0
2007-07-17,0.49974444444444444,1,7,0
2007-07-18,0.5257513888888888,2,7,0
2007-07-19,0.47075416666666664,3,7,0
2007-07-20,0.771126388888889,4,7,0
2007-07-21,0.7362833333333334,5,7,1
2007-07-22,0.9560625434329396,6,7,1
2007-07-23,0.6882069444444444,0,7,0
2007-07-24,0.5731138888888889,1,7,0
2007-07-25,0.32816666666666666,2,7,0
2007-07-26,0.6420138888888889,3,7,0
2007-07-27,0.8350791666666666,4,7,0
2007-07-28,1.1262930555555557,5,7,1
2007-07-29,0.2229972222222222,6,7,1
2007-07-30,0.3241777777777778,0,7,0
2007-07-31,0.5641194444444444,1,7,0
2007-08-01,0.7472431289640592,2,8,0
2007-08-02,0.7079277777777778,3,8,0
2007-08-03,0.7384472222222223,4,8,0
2007-08-04,0.7951319444444445,5,8,1
2007-08-05,0.5465958333333333,6,8,1
2007-08-06,0.75675,0,8,0
2007-08-07,1.0302638888888889,1,8,0
2007-08-08,0.7815847222222222,2,8,0
2007-08-09,0.7442222222222222,3,8,0
2007-08-10,0.7138958333333333,4,8,0
2007-08-11,0.7580902777777778,5,8,1
2007-08-12,0.8624333333333334,6,8,1
2007-08-13,0.8007027777777778,0,8,0
2007-08-14,0.6536041666666667,1,8,0
2007-08-15,0.8276805555555555,2,8,0
2007-08-16,0.6656222222222222,3,8,0
2007-08-17,0.7013138888888888,4,8,0
2007-08-18,0.24163888888888888,5,8,1
2007-08-19,0.9877041666666667,6,8,1
2007-08-20,0.929751388888889,0,8,0
2007-08-21,0.44621944444444445,1,8,0
2007-08-22,0.8401444444444445,2,8,0
2007-08-23,0.7724388888888888,3,8,0
2007-08-24,1.1509478804725504,4,8,0
2007-08-25,0.7992222222222223,5,8,1
2007-08-26,0.9131291666666667,6,8,1
2007-08-27,0.8414791666666667,0,8,0
2007-08-28,0.6923638888888889,1,8,0
2007-08-29,0.5194388888888889,2,8,0
2007-08-30,0.8350402777777778,3,8,0
2007-08-31,0.8887652777777777,4,8,0
2007-09-01,1.1815875,5,9,1
2007-09-02,1.1544916666666667,6,9,1
2007-09-03,0.7214736111111111,0,9,0
2007-09-04,1.1006555555555555,1,9,0
2007-09-05,0.8587305555555554,2,9,0
2007-09-06,0.6260236111111112,3,9,0
2007-09-07,0.9281222222222223,4,9,0
2007-09-08,1.020661111111111,5,9,1
2007-09-09,1.1663208333333333,6,9,1
2007-09-10,0.7759555555555555,0,9,0
2007-09-11,0.6830361111111111,1,9,0
2007-09-12,0.8942805555555555,2,9,0
2007-09-13,0.7960986111111111,3,9,0
2007-09-14,0.7885208333333333,4,9,0
2007-09-15,0.7606333333333333,5,9,1
2007-09-16,1.1473777777777778,6,9,1
2007-09-17,1.0147125,0,9,0
2007-09-18,0.8107777777777778,1,9,0
2007-09-19,0.9018638888888889,2,9,0
2007-09-20,0.8718972222222222,3,9,0
2007-09-21,0.8602638888888888,4,9,0
2007-09-22,0.8167861111111111,5,9,1
2007-09-23,0.9847013888888889,6,9,1
2007-09-24,0.9406458333333333,0,9,0
2007-09-25,1.2252375,1,9,0
2007-09-26,1.267221140472879,2,9,0
2007-09-27,0.9670833333333333,3,9,0
2007-09-28,1.1670125,4,9,0
2007-09-29,1.5948069444444444,5,9,1
2007-09-30,1.0529791666666666,6,9,1
2007-10-01,1.1950847222222223,0,10,0
2007-10-02,1.526988888888889,1,10,0
2007-10-03,0.8892041666666667,2,10,0
2007-10-04,1.0544847222222222,3,10,0
2007-10-05,0.9681194444444445,4,10,0
2007-10-06,1.2196111111111112,5,10,1
2007-10-07,1.4625791666666668,6,10,1
2007-10-08,0.7605847222222222,0,10,0
2007-10-09,1.172123611111111,1,10,0
2007-10-10,0.8103972222222222,2,10,0
2007-10-11,1.2030874999999999,3,10,0
2007-10-12,1.3295166666666667,4,10,0
2007-10-13,1.3380055555555557,5,10,1
2007-10-14,1.431425,6,10,1
2007-10-15,0.8793958333333333,0,10,0
2007-10-16,1.3641958333333333,1,10,0
2007-10-17,1.0950902777777778,2,10,0
2007-10-18,1.054534722222222,3,10,0
2007-10-19,1.4483666666666668,4,10,0
2007-10-20,1.1529486111111111,5,10,1
2007-10-21,1.3485694444444445,6,10,1
2007-10-22,1.1478444444444444,0,10,0
2007-10-23,1.3592823365785813,1,10,0
2007-10-24,1.2955805555555555,2,10,0
2007-10-25,1.2874430555555554,3,10,0
2007-10-26,0.9983111111111111,4,10,0
2007-10-27,1.2400611111111113,5,10,1
2007-10-28,0.3556652777777778,6,10,1
2007-10-29,0.37876944444444444,0,10,0
2007-10-30,0.5632,1,10,0
2007-10-31,0.8911180555555556,2,10,0
2007-11-01,0.3445944444444444,3,11,0
2007-11-02,1.002501388888889,4,11,0
2007-11-03,0.3420486111111111,5,11,1
2007-11-04,1.0317263888888888,6,11,1
2007-11-05,1.0420777777777779,0,11,0
2007-11-06,1.4460958333333334,1,11,0
2007-11-07,1.2810819444444446,2,11,0
2007-11-08,1.0424027777777778,3,11,0
2007-11-09,1.5077958333333334,4,11,0
2007-11-10,1.813611111111111,5,11,1
2007-11-11,1.3105027777777778,6,11,1
2007-11-12,1.4973236111111112,0,11,0
2007-11-13,1.537776388888889,1,11,0
2007-11-14,1.4222180555555555,2,11,0
2007-11-15,1.0361027777777778,3,11,0
2007-11-16,1.6039958333333333,4,11,0
2007-11-17,1.8125652777777779,5,11,1
2007-11-18,1.5165680555555556,6,11,1
2007-11-19,1.1969819444444445,0,11,0
2007-11-20,1.4554555555555557,1,11,0
2007-11-21,1.217398193189715,2,11,0
2007-11-22,1.3419291666666666,3,11,0
2007-11-23,1.7518180555555556,4,11,0
2007-11-24,1.3187875,5,11,1
2007-11-25,0.9691652777777777,6,11,1
2007-11-26,1.0900805555555555,0,11,0
2007-11-27,1.9451472222222224,1,11,0
2007-11-28,1.1423194444444444,2,11,0
2007-11-29,1.194739402362752,3,11,0
2007-11-30,1.6192555555555557,4,11,0
2007-12-01,2.1770430555555556,5,12,1
2007-12-02,2.045963888888889,6,12,1
2007-12-03,1.2236527777777777,0,12,0
2007-12-04,1.4358583333333332,1,12,0
2007-12-05,1.4952222222222222,2,12,0
2007-12-06,1.7277319444444446,3,12,0
2007-12-07,1.2284833333333334,4,12,0
2007-12-08,1.5370861111111112,5,12,1
2007-12-09,1.5795722222222222,6,12,1
2007-12-10,1.2213569444444443,0,12,0
2007-12-11,1.6007666666666664,1,12,0
2007-12-12,1.1028208333333334,2,12,0
2007-12-13,1.2831569444444446,3,12,0
2007-12-14,1.3713944444444444,4,12,0
